Head south, continue for 48.6 meters and taking about 35.0 seconds.
Turn slight left, continue for 8.9 meters and taking about 6.4 seconds.
Turn right, continue for 112.9 meters and taking about 81.3 seconds.
Keep left, continue for 244.7 meters and taking about 176.2 seconds.
Turn left, continue for 120.2 meters and taking about 86.5 seconds.
Turn right, continue for 15.6 meters and taking about 11.2 seconds.
Turn left, continue for 21.3 meters and taking about 15.3 seconds.
Turn right, continue for 120.4 meters and taking about 86.7 seconds.
Keep right, continue for 106.7 meters and taking about 76.8 seconds.
Turn slight left, continue for 7.4 meters and taking about 5.3 seconds.
Turn right, continue for 22.5 meters and taking about 16.2 seconds.
Turn left, continue for 962.3 meters and taking about 692.9 seconds.
Turn slight left, continue for 112.3 meters and taking about 80.9 seconds.
Turn left, continue for 68.6 meters and taking about 49.4 seconds.
Keep right, continue for 14.3 meters and taking about 10.3 seconds.
Turn sharp left, continue for 9.4 meters and taking about 6.8 seconds.
Arrive at your destination, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
