Head east, continue for 9.6 meters and taking about 6.9 seconds.
Turn right onto Sunnyside Avenue on Sunnyside Avenue, continue for 37.6 meters and taking about 27.1 seconds.
Turn left, continue for 5.2 meters and taking about 3.7 seconds.
Turn right, continue for 1.1 meters and taking about 0.8 seconds.
Turn left, continue for 79.0 meters and taking about 56.9 seconds.
Turn right, continue for 4.1 meters and taking about 2.9 seconds.
Turn left onto Wright Avenue on Wright Avenue, continue for 583.8 meters and taking about 420.4 seconds.
Turn right, continue for 3.5 meters and taking about 2.6 seconds.
Turn left, continue for 196.9 meters and taking about 141.8 seconds.
Keep left, continue for 11.6 meters and taking about 8.3 seconds.
Turn right, continue for 21.8 meters and taking about 15.7 seconds.
Keep left, continue for 33.3 meters and taking about 24.0 seconds.
Turn right, continue for 4.7 meters and taking about 3.4 seconds.
Turn left onto Rideau Avenue on Rideau Avenue, continue for 67.6 meters and taking about 48.7 seconds.
Turn right onto Lansdowne Avenue on Lansdowne Avenue, continue for 5.7 meters and taking about 4.1 seconds.
Turn left, continue for 6.5 meters and taking about 4.7 seconds.
Turn left, continue for 104.9 meters and taking about 75.5 seconds.
Keep right, continue for 17.4 meters and taking about 12.5 seconds.
Turn right, continue for 36.1 meters and taking about 26.0 seconds.
Turn left, continue for 3.6 meters and taking about 2.6 seconds.
Turn right onto Shirley Street on Shirley Street, continue for 47.6 meters and taking about 34.3 seconds.
Arrive at Shirley Street, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
