Head north, continue for 9.3 meters and taking about 6.7 seconds.
Turn right, continue for 18.0 meters and taking about 12.9 seconds.
Turn right onto Leslie Street on Leslie Street, continue for 42.2 meters and taking about 30.4 seconds.
Turn left, continue for 104.6 meters and taking about 75.3 seconds.
Turn sharp right onto Wicksteed Avenue on Wicksteed Avenue, continue for 139.0 meters and taking about 100.1 seconds.
Turn right, continue for 16.0 meters and taking about 11.5 seconds.
Turn left, continue for 60.1 meters and taking about 43.3 seconds.
Turn slight left, continue for 27.7 meters and taking about 19.9 seconds.
Turn left, continue for 6.5 meters and taking about 4.7 seconds.
Turn right, continue for 14.4 meters and taking about 10.4 seconds.
Keep left, continue for 14.3 meters and taking about 10.3 seconds.
Turn right, continue for 634.8 meters and taking about 457.0 seconds.
Turn left, continue for 62.5 meters and taking about 45.0 seconds.
Turn left, continue for 95.7 meters and taking about 68.9 seconds.
Turn left, continue for 12.0 meters and taking about 8.6 seconds.
Turn right onto William Morgan Drive on William Morgan Drive, continue for 84.6 meters and taking about 60.9 seconds.
Turn right, continue for 38.6 meters and taking about 27.8 seconds.
Turn right, continue for 64.6 meters and taking about 46.5 seconds.
Arrive at your destination, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
