Head south, continue for 8.6 meters and taking about 6.2 seconds.
Turn right, continue for 91.4 meters and taking about 65.8 seconds.
Turn left, continue for 172.9 meters and taking about 124.5 seconds.
Turn left, continue for 1.1 meters and taking about 0.8 seconds.
Turn right, continue for 16.6 meters and taking about 12.0 seconds.
Turn right, continue for 2.0 meters and taking about 1.5 seconds.
Turn left, continue for 128.5 meters and taking about 92.5 seconds.
Turn right, continue for 16.8 meters and taking about 12.1 seconds.
Turn left, continue for 117.1 meters and taking about 84.3 seconds.
Keep right, continue for 1.3 meters and taking about 1.0 seconds.
Turn sharp right, continue for 4.4 meters and taking about 3.2 seconds.
Turn left, continue for 99.7 meters and taking about 71.8 seconds.
Turn right, continue for 6.5 meters and taking about 4.7 seconds.
Turn left, continue for 18.6 meters and taking about 13.4 seconds.
Keep right, continue for 43.0 meters and taking about 31.0 seconds.
Turn slight right, continue for 69.7 meters and taking about 50.2 seconds.
Turn left, continue for 186.0 meters and taking about 133.9 seconds.
Turn right, continue for 6.3 meters and taking about 4.6 seconds.
Turn left, continue for 117.5 meters and taking about 84.6 seconds.
Turn right, continue for 17.1 meters and taking about 12.3 seconds.
Turn left, continue for 6.8 meters and taking about 4.9 seconds.
Arrive at your destination, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
