Head east, continue for 17.5 meters and taking about 12.6 seconds.
Turn left onto Engelhart Crescent on Engelhart Crescent, continue for 162.8 meters and taking about 117.2 seconds.
Turn left, continue for 38.6 meters and taking about 27.8 seconds.
Turn right, continue for 132.6 meters and taking about 95.4 seconds.
Turn left, continue for 9.4 meters and taking about 6.8 seconds.
Turn right, continue for 43.7 meters and taking about 31.5 seconds.
Turn left, continue for 2.0 meters and taking about 1.4 seconds.
Turn right, continue for 20.9 meters and taking about 15.0 seconds.
Turn left, continue for 153.2 meters and taking about 110.3 seconds.
Keep left, continue for 42.0 meters and taking about 30.3 seconds.
Turn right, continue for 190.0 meters and taking about 136.8 seconds.
Turn left, continue for 11.2 meters and taking about 8.0 seconds.
Continue straight onto Bank of Montreal drive thru on Bank of Montreal drive thru, continue for 21.7 meters and taking about 15.7 seconds.
Turn left, continue for 12.6 meters and taking about 9.1 seconds.
Turn left, continue for 18.5 meters and taking about 13.3 seconds.
Arrive at your destination, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
