Head west, continue for 7.2 meters and taking about 5.2 seconds.
Turn left, continue for 14.1 meters and taking about 10.1 seconds.
Turn left, continue for 48.3 meters and taking about 34.7 seconds.
Turn slight left, continue for 48.1 meters and taking about 34.6 seconds.
Turn right onto Arundel Avenue on Arundel Avenue, continue for 32.3 meters and taking about 23.2 seconds.
Turn left, continue for 4.6 meters and taking about 3.3 seconds.
Turn right, continue for 32.1 meters and taking about 23.1 seconds.
Turn left, continue for 72.8 meters and taking about 52.4 seconds.
Turn right, continue for 20.2 meters and taking about 14.6 seconds.
Turn left, continue for 1.8 meters and taking about 1.3 seconds.
Turn right, continue for 33.8 meters and taking about 24.3 seconds.
Turn left, continue for 99.7 meters and taking about 71.8 seconds.
Turn right, continue for 158.7 meters and taking about 114.2 seconds.
Turn left, continue for 8.3 meters and taking about 6.0 seconds.
Turn right onto Fenwick Avenue on Fenwick Avenue, continue for 5.0 meters and taking about 3.6 seconds.
Continue straight, continue for 46.3 meters and taking about 33.3 seconds.
Keep left, continue for 30.4 meters and taking about 21.9 seconds.
Keep left, continue for 127.2 meters and taking about 91.6 seconds.
Continue straight onto Strathcona Avenue on Strathcona Avenue, continue for 597.8 meters and taking about 430.4 seconds.
Turn right onto Jones Avenue on Jones Avenue, continue for 12.1 meters and taking about 8.7 seconds.
Turn left onto Baird Avenue on Baird Avenue, continue for 9.7 meters and taking about 7.0 seconds.
Turn right, continue for 179.8 meters and taking about 129.5 seconds.
Turn left, continue for 69.1 meters and taking about 49.8 seconds.
Arrive at your destination, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
