Head west, continue for 135.1 meters and taking about 97.3 seconds.
Turn right, continue for 51.7 meters and taking about 37.2 seconds.
Turn left, continue for 108.2 meters and taking about 77.9 seconds.
Turn right, continue for 1.8 meters and taking about 1.3 seconds.
Turn left, continue for 516.7 meters and taking about 372.0 seconds.
Turn left, continue for 16.5 meters and taking about 11.9 seconds.
Turn right, continue for 3.2 meters and taking about 2.3 seconds.
Keep right, continue for 192.4 meters and taking about 138.5 seconds.
Turn left, continue for 2.6 meters and taking about 1.8 seconds.
Turn right, continue for 26.0 meters and taking about 18.7 seconds.
Turn left, continue for 26.9 meters and taking about 19.4 seconds.
Turn right onto Humewood Drive on Humewood Drive, continue for 833.6 meters and taking about 600.2 seconds.
Turn left, continue for 14.8 meters and taking about 10.7 seconds.
Arrive at your destination, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
