Head north, continue for 221.5 meters and taking about 159.5 seconds.
Turn slight left, continue for 87.4 meters and taking about 62.9 seconds.
Turn left, continue for 5.2 meters and taking about 3.8 seconds.
Turn right onto Atlantic Avenue on Atlantic Avenue, continue for 1.8 meters and taking about 1.3 seconds.
Turn left, continue for 5.7 meters and taking about 4.1 seconds.
Turn right, continue for 114.4 meters and taking about 82.4 seconds.
Turn right, continue for 17.0 meters and taking about 12.3 seconds.
Turn left, continue for 73.4 meters and taking about 52.8 seconds.
Turn right, continue for 70.2 meters and taking about 50.6 seconds.
Turn right, continue for 86.2 meters and taking about 62.1 seconds.
Turn slight right, continue for 386.1 meters and taking about 278.0 seconds.
Turn right, continue for 59.7 meters and taking about 43.0 seconds.
Turn left, continue for 24.2 meters and taking about 17.4 seconds.
Turn right, continue for 17.6 meters and taking about 12.7 seconds.
Turn left, continue for 76.8 meters and taking about 55.3 seconds.
Turn right onto Noble Street on Noble Street, continue for 178.4 meters and taking about 128.4 seconds.
Turn right, continue for 4.5 meters and taking about 3.2 seconds.
Turn left, continue for 122.5 meters and taking about 88.2 seconds.
Turn right, continue for 47.1 meters and taking about 33.9 seconds.
Turn left, continue for 4.5 meters and taking about 3.2 seconds.
Continue straight onto Maple Grove Avenue on Maple Grove Avenue, continue for 151.2 meters and taking about 108.9 seconds.
Turn right onto O'Hara Avenue on O'Hara Avenue, continue for 40.3 meters and taking about 29.0 seconds.
Turn left onto Margaret Lane on Margaret Lane, continue for 106.3 meters and taking about 76.5 seconds.
Arrive at Margaret Lane, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
