Head north, continue for 10.4 meters and taking about 7.5 seconds.
Turn left onto Sloping Sky Mews on Sloping Sky Mews, continue for 254.1 meters and taking about 182.9 seconds.
Continue straight, continue for 43.6 meters and taking about 31.4 seconds.
Turn left onto Gzowski Boulevard on Gzowski Boulevard, continue for 6.7 meters and taking about 4.8 seconds.
Turn right, continue for 41.3 meters and taking about 29.7 seconds.
Turn left, continue for 49.6 meters and taking about 35.7 seconds.
Turn left onto Angelique Street on Angelique Street, continue for 39.1 meters and taking about 28.2 seconds.
Turn right, continue for 270.5 meters and taking about 194.8 seconds.
Turn right, continue for 12.1 meters and taking about 8.7 seconds.
Keep left, continue for 14.5 meters and taking about 10.5 seconds.
Turn right, continue for 42.6 meters and taking about 30.7 seconds.
Turn left, continue for 7.0 meters and taking about 5.1 seconds.
Turn right, continue for 12.9 meters and taking about 9.3 seconds.
Turn left, continue for 21.0 meters and taking about 15.1 seconds.
Keep left, continue for 57.0 meters and taking about 41.0 seconds.
Turn left, continue for 4.9 meters and taking about 3.6 seconds.
Turn right, continue for 206.8 meters and taking about 148.9 seconds.
Turn left, continue for 16.3 meters and taking about 11.8 seconds.
Turn right, continue for 16.3 meters and taking about 11.7 seconds.
Turn right, continue for 15.4 meters and taking about 11.1 seconds.
Turn left, continue for 27.6 meters and taking about 19.9 seconds.
Turn right, continue for 321.1 meters and taking about 231.2 seconds.
Arrive at your destination, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
