Head north, continue for 144.3 meters and taking about 103.9 seconds.
Turn left, continue for 21.8 meters and taking about 15.7 seconds.
Keep left, continue for 128.6 meters and taking about 92.6 seconds.
Turn right, continue for 11.3 meters and taking about 8.1 seconds.
Turn left, continue for 73.8 meters and taking about 53.1 seconds.
Turn left, continue for 22.6 meters and taking about 16.3 seconds.
Turn left, continue for 6.4 meters and taking about 4.6 seconds.
Turn left, continue for 1.1 meters and taking about 0.8 seconds.
Turn right, continue for 62.6 meters and taking about 45.1 seconds.
Turn left, continue for 914.5 meters and taking about 658.4 seconds.
Turn right, continue for 131.6 meters and taking about 94.7 seconds.
Turn left, continue for 343.8 meters and taking about 247.5 seconds.
Turn right, continue for 18.8 meters and taking about 13.5 seconds.
Turn left, continue for 7.6 meters and taking about 5.4 seconds.
Arrive at your destination, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
