Head south, continue for 66.2 meters and taking about 47.6 seconds.
Turn left, continue for 531.9 meters and taking about 383.0 seconds.
Turn left, continue for 1.5 meters and taking about 1.1 seconds.
Turn right, continue for 504.9 meters and taking about 363.5 seconds.
Turn right onto Ontario Street on Ontario Street, continue for 20.6 meters and taking about 14.8 seconds.
Turn left, continue for 222.3 meters and taking about 160.1 seconds.
Turn right, continue for 109.8 meters and taking about 79.1 seconds.
Turn left, continue for 292.9 meters and taking about 210.9 seconds.
Turn right, continue for 3.9 meters and taking about 2.8 seconds.
Turn left onto Spruce Street on Spruce Street, continue for 168.6 meters and taking about 121.4 seconds.
Arrive at Spruce Street, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
