Head north, continue for 35.1 meters and taking about 25.3 seconds.
Turn left, continue for 85.7 meters and taking about 61.7 seconds.
Turn right, continue for 112.9 meters and taking about 81.3 seconds.
Turn left, continue for 9.5 meters and taking about 6.9 seconds.
Turn right onto Dan Leckie Way on Dan Leckie Way, continue for 4.6 meters and taking about 3.3 seconds.
Continue straight, continue for 11.1 meters and taking about 8.0 seconds.
Turn left, continue for 8.4 meters and taking about 6.0 seconds.
Turn right, continue for 265.0 meters and taking about 190.8 seconds.
Turn right, continue for 106.8 meters and taking about 76.9 seconds.
Keep right, continue for 13.8 meters and taking about 9.9 seconds.
Keep right, continue for 68.6 meters and taking about 49.4 seconds.
Turn left, continue for 2.5 meters and taking about 1.8 seconds.
Turn right, continue for 77.2 meters and taking about 55.6 seconds.
Turn slight right, continue for 467.3 meters and taking about 336.5 seconds.
Turn left, continue for 31.9 meters and taking about 23.0 seconds.
Turn right, continue for 47.8 meters and taking about 34.4 seconds.
Turn left, continue for 5.1 meters and taking about 3.7 seconds.
Turn right onto Ryerson Avenue on Ryerson Avenue, continue for 227.1 meters and taking about 163.5 seconds.
Turn left, continue for 6.1 meters and taking about 4.4 seconds.
Turn right, continue for 87.9 meters and taking about 63.3 seconds.
Turn right, continue for 26.4 meters and taking about 19.0 seconds.
Arrive at your destination, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
