Head east, continue for 31.8 meters and taking about 22.9 seconds.
Turn left, continue for 49.3 meters and taking about 35.5 seconds.
Turn right, continue for 17.3 meters and taking about 12.4 seconds.
Turn left, continue for 18.2 meters and taking about 13.1 seconds.
Turn right, continue for 40.9 meters and taking about 29.4 seconds.
Turn left, continue for 9.1 meters and taking about 6.5 seconds.
Turn right, continue for 70.2 meters and taking about 50.5 seconds.
Turn left onto Parkway Avenue on Parkway Avenue, continue for 81.8 meters and taking about 58.9 seconds.
Turn right, continue for 91.9 meters and taking about 66.2 seconds.
Keep right, continue for 48.6 meters and taking about 35.0 seconds.
Turn left, continue for 90.0 meters and taking about 64.8 seconds.
Turn left, continue for 3.6 meters and taking about 2.6 seconds.
Turn right, continue for 45.5 meters and taking about 32.8 seconds.
Turn left, continue for 504.1 meters and taking about 363.0 seconds.
Keep left, continue for 338.9 meters and taking about 244.0 seconds.
Keep left, continue for 148.3 meters and taking about 106.8 seconds.
Turn left, continue for 16.4 meters and taking about 11.8 seconds.
Turn right, continue for 8.9 meters and taking about 6.4 seconds.
Turn sharp left onto Sheridan Avenue on Sheridan Avenue, continue for 32.3 meters and taking about 23.3 seconds.
Turn right, continue for 62.5 meters and taking about 45.0 seconds.
Turn left onto Awde Street on Awde Street, continue for 46.3 meters and taking about 33.3 seconds.
Turn right onto Fisher Street on Fisher Street, continue for 42.0 meters and taking about 30.3 seconds.
Turn left, continue for 4.8 meters and taking about 3.5 seconds.
Turn right, continue for 40.0 meters and taking about 28.8 seconds.
Arrive at your destination, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
