Head east, continue for 409.8 meters and taking about 295.0 seconds.
Turn left, continue for 222.7 meters and taking about 160.3 seconds.
Turn right, continue for 13.3 meters and taking about 9.6 seconds.
Turn left, continue for 7.9 meters and taking about 5.7 seconds.
Turn right onto Brandon Avenue on Brandon Avenue, continue for 167.5 meters and taking about 120.6 seconds.
Turn left onto Primrose Avenue on Primrose Avenue, continue for 41.3 meters and taking about 29.7 seconds.
Turn right, continue for 4.9 meters and taking about 3.6 seconds.
Turn left, continue for 255.1 meters and taking about 183.7 seconds.
Turn right, continue for 36.0 meters and taking about 25.9 seconds.
Turn left, continue for 16.9 meters and taking about 12.1 seconds.
Turn right, continue for 163.2 meters and taking about 117.5 seconds.
Turn left onto Via Italia on Via Italia, continue for 34.4 meters and taking about 24.8 seconds.
Turn right, continue for 25.7 meters and taking about 18.5 seconds.
Turn right onto Nunes Lane on Nunes Lane, continue for 102.1 meters and taking about 73.5 seconds.
Turn left onto McFarland Avenue on McFarland Avenue, continue for 142.5 meters and taking about 102.6 seconds.
Turn right onto Peterborough Avenue on Peterborough Avenue, continue for 5.7 meters and taking about 4.1 seconds.
Turn left, continue for 4.7 meters and taking about 3.4 seconds.
Turn right, continue for 73.8 meters and taking about 53.1 seconds.
Turn left, continue for 93.7 meters and taking about 67.4 seconds.
Turn right, continue for 8.5 meters and taking about 6.1 seconds.
Arrive at your destination, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
