Head south, continue for 16.4 meters and taking about 11.8 seconds.
Turn left, continue for 37.9 meters and taking about 27.3 seconds.
Turn left, continue for 110.1 meters and taking about 79.3 seconds.
Turn right, continue for 18.7 meters and taking about 13.5 seconds.
Turn left, continue for 98.5 meters and taking about 70.9 seconds.
Turn right, continue for 55.1 meters and taking about 39.7 seconds.
Turn left, continue for 3.8 meters and taking about 2.7 seconds.
Turn right onto Woodville Avenue on Woodville Avenue, continue for 102.1 meters and taking about 73.5 seconds.
Turn left onto Rivercourt Boulevard on Rivercourt Boulevard, continue for 96.2 meters and taking about 69.3 seconds.
Turn right, continue for 7.0 meters and taking about 5.1 seconds.
Turn slight left, continue for 158.6 meters and taking about 114.2 seconds.
Keep left, continue for 276.3 meters and taking about 199.0 seconds.
Turn left, continue for 13.8 meters and taking about 9.9 seconds.
Keep right, continue for 228.4 meters and taking about 164.5 seconds.
Keep left, continue for 179.5 meters and taking about 129.2 seconds.
Turn slight left, continue for 175.6 meters and taking about 126.4 seconds.
Keep left, continue for 148.9 meters and taking about 107.2 seconds.
Turn left, continue for 24.6 meters and taking about 17.7 seconds.
Arrive at your destination, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
