Head north, continue for 7.3 meters and taking about 5.3 seconds.
Turn left, continue for 265.7 meters and taking about 191.3 seconds.
Turn left, continue for 195.2 meters and taking about 140.6 seconds.
Turn right, continue for 20.9 meters and taking about 15.0 seconds.
Turn left, continue for 2.0 meters and taking about 1.4 seconds.
Turn right, continue for 43.7 meters and taking about 31.5 seconds.
Turn left, continue for 9.4 meters and taking about 6.8 seconds.
Turn right, continue for 132.6 meters and taking about 95.4 seconds.
Turn left, continue for 38.6 meters and taking about 27.8 seconds.
Turn right onto Engelhart Crescent on Engelhart Crescent, continue for 268.6 meters and taking about 193.4 seconds.
Turn right onto Southmead Road on Southmead Road, continue for 86.2 meters and taking about 62.1 seconds.
Turn left, continue for 135.0 meters and taking about 97.2 seconds.
Turn right, continue for 20.2 meters and taking about 14.6 seconds.
Turn left, continue for 67.3 meters and taking about 48.4 seconds.
Turn right, continue for 102.8 meters and taking about 74.0 seconds.
Arrive at your destination, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
