Head east, continue for 587.9 meters and taking about 423.3 seconds.
Turn left, continue for 41.5 meters and taking about 29.9 seconds.
Turn left, continue for 187.2 meters and taking about 134.8 seconds.
Turn right, continue for 47.3 meters and taking about 34.1 seconds.
Turn left, continue for 9.3 meters and taking about 6.7 seconds.
Turn right onto Queen Street West on Queen Street West, continue for 3.2 meters and taking about 2.3 seconds.
Turn left, continue for 67.4 meters and taking about 48.6 seconds.
Turn right, continue for 90.3 meters and taking about 65.0 seconds.
Turn left, continue for 42.5 meters and taking about 30.6 seconds.
Keep right, continue for 98.2 meters and taking about 70.7 seconds.
Turn left, continue for 29.4 meters and taking about 21.2 seconds.
Keep right, continue for 43.2 meters and taking about 31.1 seconds.
Turn right, continue for 96.0 meters and taking about 69.1 seconds.
Turn left onto James Street on James Street, continue for 52.1 meters and taking about 37.5 seconds.
Turn right, continue for 60.5 meters and taking about 43.6 seconds.
Turn left onto Eaton Centre level 3 on Eaton Centre level 3, continue for 161.2 meters and taking about 116.1 seconds.
Turn left, continue for 31.6 meters and taking about 22.7 seconds.
Keep right, continue for 15.2 meters and taking about 10.9 seconds.
Keep right, continue for 13.3 meters and taking about 9.6 seconds.
Turn sharp left, continue for 1.7 meters and taking about 1.3 seconds.
Turn right, continue for 106.9 meters and taking about 77.0 seconds.
Turn right, continue for 51.1 meters and taking about 36.8 seconds.
Turn left onto Gould Street on Gould Street, continue for 56.6 meters and taking about 40.8 seconds.
Turn left onto Nelson Mandela Walk on Nelson Mandela Walk, continue for 93.8 meters and taking about 67.5 seconds.
Turn right, continue for 19.2 meters and taking about 13.8 seconds.
Arrive at your destination, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
