Head west, continue for 39.0 meters and taking about 28.1 seconds.
Turn left, continue for 18.9 meters and taking about 13.6 seconds.
Turn left, continue for 13.4 meters and taking about 9.6 seconds.
Turn right, continue for 61.2 meters and taking about 44.1 seconds.
Turn left onto Wilket Creek Trail on Wilket Creek Trail, continue for 122.9 meters and taking about 88.4 seconds.
Turn left, continue for 24.5 meters and taking about 17.6 seconds.
Turn right, continue for 88.7 meters and taking about 63.9 seconds.
Keep left, continue for 481.6 meters and taking about 346.7 seconds.
Turn right onto Paperbirch Walkway on Paperbirch Walkway, continue for 196.9 meters and taking about 141.8 seconds.
Turn left onto Paperbirch Walkway on Paperbirch Walkway, continue for 43.5 meters and taking about 31.3 seconds.
Turn right onto Sanderling Place on Sanderling Place, continue for 52.8 meters and taking about 38.0 seconds.
Turn right, continue for 188.8 meters and taking about 135.9 seconds.
Turn left, continue for 21.9 meters and taking about 15.7 seconds.
Turn right, continue for 516.3 meters and taking about 371.8 seconds.
Turn left, continue for 62.7 meters and taking about 45.1 seconds.
Turn left, continue for 70.3 meters and taking about 50.6 seconds.
Arrive at your destination, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
