Head east, continue for 265.5 meters and taking about 191.2 seconds.
Turn left, continue for 54.2 meters and taking about 39.0 seconds.
Turn right, continue for 106.9 meters and taking about 77.0 seconds.
Turn left onto St Luke Lane on St Luke Lane, continue for 11.7 meters and taking about 8.4 seconds.
Turn right, continue for 43.2 meters and taking about 31.1 seconds.
Turn left, continue for 120.5 meters and taking about 86.8 seconds.
Turn right, continue for 17.0 meters and taking about 12.3 seconds.
Turn left, continue for 100.8 meters and taking about 72.6 seconds.
Turn right, continue for 288.0 meters and taking about 207.4 seconds.
Turn left, continue for 62.9 meters and taking about 45.3 seconds.
Turn sharp right, continue for 20.3 meters and taking about 14.6 seconds.
Turn left, continue for 6.2 meters and taking about 4.4 seconds.
Turn right onto Gloucester Street on Gloucester Street, continue for 306.6 meters and taking about 220.8 seconds.
Turn left, continue for 5.7 meters and taking about 4.1 seconds.
Turn right, continue for 228.5 meters and taking about 164.5 seconds.
Turn right, continue for 3.9 meters and taking about 2.8 seconds.
Turn left onto Huntley Street on Huntley Street, continue for 78.5 meters and taking about 56.5 seconds.
Turn right, continue for 53.3 meters and taking about 38.4 seconds.
Arrive at your destination, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
