Head west, continue for 11.0 meters and taking about 7.9 seconds.
Turn right, continue for 58.1 meters and taking about 41.8 seconds.
Turn left, continue for 116.1 meters and taking about 83.6 seconds.
Turn right, continue for 30.0 meters and taking about 21.6 seconds.
Turn left, continue for 3.5 meters and taking about 2.5 seconds.
Turn right, continue for 50.0 meters and taking about 36.0 seconds.
Keep left, continue for 156.6 meters and taking about 112.7 seconds.
Turn slight right, continue for 5.3 meters and taking about 3.8 seconds.
Keep left, continue for 14.7 meters and taking about 10.6 seconds.
Turn left, continue for 17.9 meters and taking about 12.9 seconds.
Keep right, continue for 280.6 meters and taking about 202.0 seconds.
Turn slight right, continue for 2.0 meters and taking about 1.4 seconds.
Turn slight left, continue for 16.4 meters and taking about 11.8 seconds.
Turn left, continue for 2.4 meters and taking about 1.7 seconds.
Turn right, continue for 697.4 meters and taking about 502.1 seconds.
Arrive at your destination, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
