Head west, continue for 256.0 meters and taking about 184.3 seconds.
Turn left, continue for 20.8 meters and taking about 15.0 seconds.
Turn right, continue for 4.2 meters and taking about 3.1 seconds.
Turn left onto Rankin Crescent on Rankin Crescent, continue for 19.5 meters and taking about 14.1 seconds.
Turn right, continue for 183.0 meters and taking about 131.8 seconds.
Turn right onto Paton Road on Paton Road, continue for 49.4 meters and taking about 35.6 seconds.
Turn left, continue for 4.5 meters and taking about 3.3 seconds.
Turn right, continue for 65.2 meters and taking about 47.0 seconds.
Turn left, continue for 209.6 meters and taking about 150.9 seconds.
Turn right onto Dekoven Mews on Dekoven Mews, continue for 13.6 meters and taking about 9.8 seconds.
Turn left, continue for 40.8 meters and taking about 29.4 seconds.
Turn slight right, continue for 2.3 meters and taking about 1.7 seconds.
Turn left, continue for 15.8 meters and taking about 11.4 seconds.
Turn right, continue for 371.6 meters and taking about 267.5 seconds.
Turn left, continue for 282.3 meters and taking about 203.3 seconds.
Turn right, continue for 17.2 meters and taking about 12.4 seconds.
Turn left, continue for 141.0 meters and taking about 101.5 seconds.
Turn right onto Ritchie Avenue on Ritchie Avenue, continue for 37.6 meters and taking about 27.1 seconds.
Turn left, continue for 147.2 meters and taking about 106.0 seconds.
Arrive at your destination, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
