Head west, continue for 4.8 meters and taking about 3.5 seconds.
Turn left, continue for 100.2 meters and taking about 72.1 seconds.
Keep left, continue for 5.7 meters and taking about 4.1 seconds.
Turn right onto Northumberland Street on Northumberland Street, continue for 163.8 meters and taking about 117.9 seconds.
Turn left onto Roof Garden Lane on Roof Garden Lane, continue for 3.7 meters and taking about 2.7 seconds.
Turn right, continue for 21.6 meters and taking about 15.6 seconds.
Turn left, continue for 59.2 meters and taking about 42.6 seconds.
Turn right, continue for 15.7 meters and taking about 11.3 seconds.
Turn left, continue for 117.9 meters and taking about 84.9 seconds.
Turn right, continue for 55.2 meters and taking about 39.8 seconds.
Keep right, continue for 36.0 meters and taking about 25.9 seconds.
Keep right, continue for 69.9 meters and taking about 50.3 seconds.
Keep right, continue for 25.3 meters and taking about 18.2 seconds.
Keep right, continue for 13.8 meters and taking about 9.9 seconds.
Turn left, continue for 45.1 meters and taking about 32.5 seconds.
Turn right, continue for 7.2 meters and taking about 5.2 seconds.
Turn left, continue for 7.9 meters and taking about 5.7 seconds.
Turn left, continue for 9.9 meters and taking about 7.1 seconds.
Turn right, continue for 408.3 meters and taking about 294.0 seconds.
Keep right, continue for 295.6 meters and taking about 212.8 seconds.
Turn right, continue for 8.8 meters and taking about 6.3 seconds.
Arrive at your destination, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
