Head north, continue for 3.2 meters and taking about 2.3 seconds.
Turn right, continue for 43.0 meters and taking about 30.9 seconds.
Turn slight left, continue for 9.1 meters and taking about 6.5 seconds.
Turn slight left, continue for 47.3 meters and taking about 34.1 seconds.
Turn left, continue for 163.1 meters and taking about 117.4 seconds.
Turn right, continue for 6.3 meters and taking about 4.5 seconds.
Turn left onto Sumach Street on Sumach Street, continue for 23.9 meters and taking about 17.2 seconds.
Turn right, continue for 206.9 meters and taking about 149.0 seconds.
Turn right, continue for 16.7 meters and taking about 12.0 seconds.
Turn left, continue for 105.8 meters and taking about 76.2 seconds.
Turn right, continue for 39.8 meters and taking about 28.6 seconds.
Turn left onto Carfrae Lane on Carfrae Lane, continue for 4.6 meters and taking about 3.3 seconds.
Turn right onto Mark Street on Mark Street, continue for 5.0 meters and taking about 3.6 seconds.
Turn left, continue for 11.2 meters and taking about 8.1 seconds.
Turn right, continue for 22.4 meters and taking about 16.1 seconds.
Turn left, continue for 44.9 meters and taking about 32.3 seconds.
Turn right, continue for 33.5 meters and taking about 24.1 seconds.
Turn right, continue for 238.2 meters and taking about 171.5 seconds.
Keep left, continue for 73.3 meters and taking about 52.8 seconds.
Turn left, continue for 15.9 meters and taking about 11.4 seconds.
Turn right, continue for 2.2 meters and taking about 1.6 seconds.
Keep right, continue for 50.8 meters and taking about 36.6 seconds.
Arrive at your destination, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
