Head north, continue for 11.9 meters and taking about 8.6 seconds.
Turn left onto Marine Parade Drive on Marine Parade Drive, continue for 55.3 meters and taking about 39.8 seconds.
Turn left, continue for 14.8 meters and taking about 10.7 seconds.
Turn right, continue for 167.8 meters and taking about 120.8 seconds.
Turn left, continue for 342.2 meters and taking about 246.4 seconds.
Turn left, continue for 349.4 meters and taking about 251.6 seconds.
Keep right, continue for 9.7 meters and taking about 7.0 seconds.
Turn right, continue for 7.3 meters and taking about 5.3 seconds.
Continue straight onto Manitoba Street on Manitoba Street, continue for 256.3 meters and taking about 184.5 seconds.
Turn right, continue for 50.5 meters and taking about 36.4 seconds.
Turn right, continue for 1.6 meters and taking about 1.1 seconds.
Turn left, continue for 18.2 meters and taking about 13.1 seconds.
Arrive at your destination, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
