Head west, continue for 6.9 meters and taking about 5.0 seconds.
Turn slight left, continue for 20.1 meters and taking about 14.5 seconds.
Turn slight right, continue for 115.7 meters and taking about 83.3 seconds.
Turn right, continue for 29.0 meters and taking about 20.9 seconds.
Turn left, continue for 56.0 meters and taking about 40.3 seconds.
Keep right, continue for 73.3 meters and taking about 52.7 seconds.
Turn left, continue for 96.6 meters and taking about 69.5 seconds.
Turn right, continue for 25.8 meters and taking about 18.5 seconds.
Turn slight left, continue for 14.5 meters and taking about 10.4 seconds.
Turn left, continue for 23.8 meters and taking about 17.1 seconds.
Turn left onto Fleet Street on Fleet Street, continue for 324.1 meters and taking about 233.4 seconds.
Turn left, continue for 12.2 meters and taking about 8.8 seconds.
Turn right, continue for 39.5 meters and taking about 28.4 seconds.
Keep left, continue for 402.3 meters and taking about 289.7 seconds.
Turn sharp left, continue for 9.2 meters and taking about 6.7 seconds.
Turn right, continue for 57.4 meters and taking about 41.3 seconds.
Turn right, continue for 5.9 meters and taking about 4.3 seconds.
Keep left, continue for 5.1 meters and taking about 3.6 seconds.
Turn left, continue for 26.5 meters and taking about 19.1 seconds.
Turn slight left, continue for 443.3 meters and taking about 319.2 seconds.
Turn slight right, continue for 4.5 meters and taking about 3.2 seconds.
Turn left, continue for 13.3 meters and taking about 9.6 seconds.
Turn right onto Nunavut Road on Nunavut Road, continue for 55.5 meters and taking about 40.0 seconds.
Turn left, continue for 77.5 meters and taking about 55.8 seconds.
Turn right, continue for 79.2 meters and taking about 57.0 seconds.
Arrive at your destination, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
