Head east, continue for 4.5 meters and taking about 3.2 seconds.
Turn right, continue for 45.5 meters and taking about 32.8 seconds.
Turn left, continue for 44.0 meters and taking about 31.7 seconds.
Turn right onto Art Lives Here Lane on Art Lives Here Lane, continue for 8.9 meters and taking about 6.4 seconds.
Turn left, continue for 234.0 meters and taking about 168.5 seconds.
Turn left, continue for 58.1 meters and taking about 41.8 seconds.
Turn right, continue for 8.8 meters and taking about 6.4 seconds.
Turn left, continue for 47.6 meters and taking about 34.3 seconds.
Turn slight right, continue for 193.2 meters and taking about 139.1 seconds.
Turn right, continue for 1.4 meters and taking about 1.0 seconds.
Turn left, continue for 27.0 meters and taking about 19.4 seconds.
Turn left, continue for 27.1 meters and taking about 19.5 seconds.
Turn right, continue for 403.8 meters and taking about 290.7 seconds.
Turn left, continue for 15.6 meters and taking about 11.3 seconds.
Turn right, continue for 183.0 meters and taking about 131.8 seconds.
Turn left onto Austin Terrace on Austin Terrace, continue for 60.2 meters and taking about 43.4 seconds.
Turn right, continue for 4.4 meters and taking about 3.1 seconds.
Turn left, continue for 25.3 meters and taking about 18.2 seconds.
Turn left, continue for 5.2 meters and taking about 3.8 seconds.
Arrive at your destination, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
