Head west, continue for 4.6 meters and taking about 3.3 seconds.
Turn left, continue for 5.8 meters and taking about 4.2 seconds.
Turn right onto Barton Avenue on Barton Avenue, continue for 391.1 meters and taking about 281.6 seconds.
Turn left, continue for 9.2 meters and taking about 6.7 seconds.
Turn right, continue for 13.4 meters and taking about 9.7 seconds.
Turn left, continue for 17.1 meters and taking about 12.3 seconds.
Turn right, continue for 6.1 meters and taking about 4.4 seconds.
Turn left, continue for 3.8 meters and taking about 2.7 seconds.
Turn slight left, continue for 3.1 meters and taking about 2.3 seconds.
Turn right, continue for 206.4 meters and taking about 148.6 seconds.
Turn left, continue for 25.5 meters and taking about 18.4 seconds.
Turn left, continue for 38.4 meters and taking about 27.7 seconds.
Turn right, continue for 166.1 meters and taking about 119.6 seconds.
Turn left, continue for 18.7 meters and taking about 13.5 seconds.
Turn right, continue for 1.9 meters and taking about 1.4 seconds.
Turn left, continue for 402.0 meters and taking about 289.4 seconds.
Turn slight right, continue for 1.7 meters and taking about 1.2 seconds.
Turn slight left, continue for 163.3 meters and taking about 117.6 seconds.
Turn sharp right, continue for 287.3 meters and taking about 206.8 seconds.
Turn right, continue for 4.7 meters and taking about 3.4 seconds.
Turn left onto Montrose Avenue on Montrose Avenue, continue for 35.6 meters and taking about 25.6 seconds.
Turn sharp right, continue for 154.2 meters and taking about 111.0 seconds.
Turn left, continue for 17.4 meters and taking about 12.5 seconds.
Arrive at your destination, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
