Head west, continue for 47.3 meters and taking about 34.0 seconds.
Turn right onto St. Clarens Avenue on St. Clarens Avenue, continue for 81.9 meters and taking about 59.0 seconds.
Turn left, continue for 3.6 meters and taking about 2.6 seconds.
Turn right, continue for 165.2 meters and taking about 118.9 seconds.
Turn left, continue for 78.3 meters and taking about 56.4 seconds.
Turn right, continue for 249.8 meters and taking about 179.8 seconds.
Turn left onto Brandon Avenue on Brandon Avenue, continue for 18.2 meters and taking about 13.1 seconds.
Turn right, continue for 125.7 meters and taking about 90.5 seconds.
Keep right, continue for 182.2 meters and taking about 131.2 seconds.
Turn right, continue for 21.7 meters and taking about 15.6 seconds.
Turn sharp left, continue for 77.8 meters and taking about 56.0 seconds.
Turn right, continue for 4.4 meters and taking about 3.1 seconds.
Turn left, continue for 121.9 meters and taking about 87.7 seconds.
Turn sharp right, continue for 31.4 meters and taking about 22.6 seconds.
Turn left, continue for 225.6 meters and taking about 162.4 seconds.
Keep left, continue for 257.4 meters and taking about 185.4 seconds.
Turn left, continue for 32.9 meters and taking about 23.7 seconds.
Turn right, continue for 28.2 meters and taking about 20.3 seconds.
Turn left, continue for 76.6 meters and taking about 55.2 seconds.
Turn right, continue for 9.9 meters and taking about 7.1 seconds.
Arrive at your destination, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
