Head north, continue for 11.3 meters and taking about 8.1 seconds.
Turn right, continue for 16.2 meters and taking about 11.7 seconds.
Turn left, continue for 62.7 meters and taking about 45.1 seconds.
Turn left, continue for 61.7 meters and taking about 44.4 seconds.
Turn right, continue for 54.6 meters and taking about 39.3 seconds.
Turn left, continue for 27.0 meters and taking about 19.4 seconds.
Turn right, continue for 4.7 meters and taking about 3.4 seconds.
Turn left onto Devonshire Place on Devonshire Place, continue for 130.5 meters and taking about 94.0 seconds.
Turn right, continue for 85.6 meters and taking about 61.7 seconds.
Turn left, continue for 20.7 meters and taking about 14.9 seconds.
Turn right, continue for 275.4 meters and taking about 198.3 seconds.
Turn left, continue for 87.4 meters and taking about 62.9 seconds.
Turn slight left, continue for 4.7 meters and taking about 3.4 seconds.
Turn sharp right onto Cumberland Street on Cumberland Street, continue for 605.4 meters and taking about 435.9 seconds.
Turn left onto Yonge Street on Yonge Street, continue for 18.3 meters and taking about 13.2 seconds.
Turn right onto Asquith Avenue on Asquith Avenue, continue for 216.0 meters and taking about 155.5 seconds.
Turn left onto Park Road on Park Road, continue for 33.4 meters and taking about 24.0 seconds.
Turn right, continue for 6.1 meters and taking about 4.4 seconds.
Turn left, continue for 17.2 meters and taking about 12.4 seconds.
Turn right, continue for 32.6 meters and taking about 23.5 seconds.
Arrive at your destination, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
