Head south, continue for 7.7 meters and taking about 5.5 seconds.
Turn left onto Lincoln Avenue on Lincoln Avenue, continue for 9.3 meters and taking about 6.7 seconds.
Turn left onto Runnymede Road on Runnymede Road, continue for 15.8 meters and taking about 11.4 seconds.
Turn right onto Lincoln Avenue on Lincoln Avenue, continue for 197.6 meters and taking about 142.3 seconds.
Turn left onto Gilmour Avenue on Gilmour Avenue, continue for 25.9 meters and taking about 18.6 seconds.
Turn right, continue for 5.5 meters and taking about 4.0 seconds.
Turn left, continue for 252.8 meters and taking about 182.0 seconds.
Turn slight left, continue for 262.9 meters and taking about 189.3 seconds.
Keep left, continue for 13.4 meters and taking about 9.6 seconds.
Turn left, continue for 2.2 meters and taking about 1.6 seconds.
Keep right, continue for 104.1 meters and taking about 74.9 seconds.
Keep left, continue for 269.3 meters and taking about 193.9 seconds.
Keep left, continue for 14.5 meters and taking about 10.5 seconds.
Turn slight left, continue for 45.1 meters and taking about 32.5 seconds.
Keep left, continue for 13.5 meters and taking about 9.7 seconds.
Turn slight left, continue for 61.3 meters and taking about 44.1 seconds.
Keep left, continue for 89.6 meters and taking about 64.5 seconds.
Keep left, continue for 14.7 meters and taking about 10.6 seconds.
Turn slight left, continue for 89.1 meters and taking about 64.2 seconds.
Keep left, continue for 25.0 meters and taking about 18.0 seconds.
Turn right, continue for 75.9 meters and taking about 54.6 seconds.
Turn left, continue for 152.3 meters and taking about 109.6 seconds.
Turn slight right, continue for 13.8 meters and taking about 9.9 seconds.
Turn left, continue for 102.3 meters and taking about 73.7 seconds.
Keep right, continue for 6.7 meters and taking about 4.9 seconds.
Arrive at your destination, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
