Head southeast, continue for 6.4 meters and taking about 4.6 seconds.
Turn left, continue for 85.4 meters and taking about 61.5 seconds.
Turn right, continue for 15.3 meters and taking about 11.0 seconds.
Turn left, continue for 27.1 meters and taking about 19.5 seconds.
Keep right, continue for 39.8 meters and taking about 28.6 seconds.
Turn left, continue for 182.3 meters and taking about 131.3 seconds.
Turn right onto Durie Street on Durie Street, continue for 236.2 meters and taking about 170.0 seconds.
Turn left, continue for 186.5 meters and taking about 134.3 seconds.
Turn right, continue for 5.2 meters and taking about 3.8 seconds.
Turn left onto Ardagh Street on Ardagh Street, continue for 35.2 meters and taking about 25.3 seconds.
Turn right, continue for 96.1 meters and taking about 69.2 seconds.
Turn left, continue for 15.7 meters and taking about 11.3 seconds.
Turn right, continue for 232.4 meters and taking about 167.4 seconds.
Turn left onto Colbeck Street on Colbeck Street, continue for 79.6 meters and taking about 57.3 seconds.
Turn sharp right onto Kennedy Avenue on Kennedy Avenue, continue for 355.7 meters and taking about 256.1 seconds.
Turn left, continue for 5.7 meters and taking about 4.1 seconds.
Arrive at your destination, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
