Head north, continue for 259.8 meters and taking about 163.2 seconds.
Keep left, continue for 10.1 meters and taking about 7.3 seconds.
Turn left, continue for 3.0 meters and taking about 2.1 seconds.
Turn right, continue for 143.9 meters and taking about 103.6 seconds.
Turn right, continue for 47.3 meters and taking about 34.0 seconds.
Turn sharp right, continue for 167.8 meters and taking about 120.8 seconds.
Turn left, continue for 29.0 meters and taking about 20.9 seconds.
Turn right, continue for 18.0 meters and taking about 13.0 seconds.
Turn slight left, continue for 3.1 meters and taking about 2.3 seconds.
Turn slight right, continue for 186.2 meters and taking about 134.0 seconds.
Keep left, continue for 65.9 meters and taking about 47.4 seconds.
Turn right, continue for 185.5 meters and taking about 133.5 seconds.
Turn left, continue for 1.4 meters and taking about 1.0 seconds.
Turn slight right, continue for 32.5 meters and taking about 23.4 seconds.
Turn left, continue for 99.0 meters and taking about 71.3 seconds.
Arrive at your destination, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
