Head south, continue for 28.2 meters and taking about 20.3 seconds.
Turn left, continue for 4.9 meters and taking about 3.5 seconds.
Turn right, continue for 22.0 meters and taking about 15.9 seconds.
Turn left, continue for 3.7 meters and taking about 2.6 seconds.
Turn right, continue for 7.2 meters and taking about 5.2 seconds.
Turn left, continue for 18.7 meters and taking about 13.5 seconds.
Turn slight right, continue for 29.2 meters and taking about 21.0 seconds.
Turn right, continue for 15.1 meters and taking about 10.9 seconds.
Turn left, continue for 11.5 meters and taking about 8.3 seconds.
Turn right, continue for 4.8 meters and taking about 3.4 seconds.
Turn sharp left onto Scarth Road on Scarth Road, continue for 81.2 meters and taking about 58.5 seconds.
Turn right, continue for 10.3 meters and taking about 7.4 seconds.
Turn right, continue for 3.8 meters and taking about 2.7 seconds.
Turn left, continue for 311.8 meters and taking about 224.5 seconds.
Keep right, continue for 647.6 meters and taking about 466.3 seconds.
Turn right, continue for 283.6 meters and taking about 204.2 seconds.
Turn right, continue for 22.0 meters and taking about 15.8 seconds.
Arrive at your destination, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
