Head east, continue for 5.6 meters and taking about 4.1 seconds.
Turn left, continue for 15.4 meters and taking about 11.1 seconds.
Turn right, continue for 26.2 meters and taking about 18.8 seconds.
Turn left, continue for 67.4 meters and taking about 48.5 seconds.
Turn right onto Busy Street on Busy Street, continue for 4.0 meters and taking about 2.9 seconds.
Turn left onto Verral Avenue on Verral Avenue, continue for 57.0 meters and taking about 41.0 seconds.
Turn right, continue for 37.2 meters and taking about 26.8 seconds.
Turn left, continue for 6.9 meters and taking about 5.0 seconds.
Turn right onto Colgate Avenue on Colgate Avenue, continue for 16.8 meters and taking about 12.1 seconds.
Turn left, continue for 304.8 meters and taking about 219.5 seconds.
Turn right, continue for 17.4 meters and taking about 12.5 seconds.
Turn left, continue for 136.5 meters and taking about 98.2 seconds.
Turn slight left, continue for 11.6 meters and taking about 8.4 seconds.
Turn slight left, continue for 97.5 meters and taking about 70.2 seconds.
Keep left, continue for 210.6 meters and taking about 151.6 seconds.
Turn right, continue for 50.0 meters and taking about 36.0 seconds.
Turn left, continue for 4.2 meters and taking about 3.0 seconds.
Turn right, continue for 82.7 meters and taking about 59.5 seconds.
Turn slight left, continue for 89.5 meters and taking about 64.4 seconds.
Turn left onto Pape Avenue on Pape Avenue, continue for 23.0 meters and taking about 16.5 seconds.
Turn right, continue for 42.1 meters and taking about 30.3 seconds.
Keep right, continue for 28.2 meters and taking about 20.3 seconds.
Keep left, continue for 123.8 meters and taking about 89.2 seconds.
Turn right, continue for 74.9 meters and taking about 54.0 seconds.
Turn left onto Egan Avenue on Egan Avenue, continue for 36.6 meters and taking about 26.4 seconds.
Turn right, continue for 44.8 meters and taking about 32.3 seconds.
Turn slight right, continue for 2.6 meters and taking about 1.9 seconds.
Turn left, continue for 12.1 meters and taking about 8.7 seconds.
Arrive at your destination, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
