Head north, continue for 3.4 meters and taking about 2.4 seconds.
Turn left, continue for 15.2 meters and taking about 10.9 seconds.
Turn left, continue for 81.5 meters and taking about 58.7 seconds.
Turn right, continue for 61.4 meters and taking about 44.2 seconds.
Turn left, continue for 194.1 meters and taking about 139.7 seconds.
Turn sharp right, continue for 15.7 meters and taking about 11.3 seconds.
Turn left, continue for 313.0 meters and taking about 225.3 seconds.
Turn right, continue for 288.0 meters and taking about 207.4 seconds.
Turn left, continue for 100.8 meters and taking about 72.6 seconds.
Turn right, continue for 17.0 meters and taking about 12.3 seconds.
Turn left, continue for 120.5 meters and taking about 86.8 seconds.
Turn right, continue for 43.2 meters and taking about 31.1 seconds.
Turn left onto St Luke Lane on St Luke Lane, continue for 11.7 meters and taking about 8.4 seconds.
Turn right, continue for 48.8 meters and taking about 35.1 seconds.
Keep left, continue for 58.1 meters and taking about 41.8 seconds.
Turn left, continue for 54.2 meters and taking about 39.0 seconds.
Turn right, continue for 60.2 meters and taking about 43.3 seconds.
Turn left, continue for 14.6 meters and taking about 10.5 seconds.
Turn right, continue for 21.9 meters and taking about 15.8 seconds.
Turn left, continue for 168.4 meters and taking about 121.2 seconds.
Turn right, continue for 108.1 meters and taking about 77.8 seconds.
Turn left, continue for 23.4 meters and taking about 16.9 seconds.
Turn right, continue for 123.6 meters and taking about 89.0 seconds.
Turn left, continue for 11.4 meters and taking about 8.2 seconds.
Turn right, continue for 19.8 meters and taking about 14.2 seconds.
Arrive at your destination, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
