Head west, continue for 5.1 meters and taking about 3.7 seconds.
Turn right onto Drayton Avenue on Drayton Avenue, continue for 15.4 meters and taking about 11.1 seconds.
Turn left, continue for 52.5 meters and taking about 37.8 seconds.
Turn right, continue for 19.1 meters and taking about 13.8 seconds.
Turn left, continue for 175.6 meters and taking about 126.5 seconds.
Turn right, continue for 41.8 meters and taking about 30.1 seconds.
Turn slight left, continue for 38.8 meters and taking about 27.9 seconds.
Turn right, continue for 31.6 meters and taking about 22.7 seconds.
Keep left, continue for 11.2 meters and taking about 8.1 seconds.
Turn left onto Strathmore Boulevard on Strathmore Boulevard, continue for 301.6 meters and taking about 217.1 seconds.
Turn right, continue for 87.7 meters and taking about 63.1 seconds.
Turn left, continue for 6.3 meters and taking about 4.5 seconds.
Turn right onto Monarch Park Avenue on Monarch Park Avenue, continue for 94.6 meters and taking about 68.1 seconds.
Turn left, continue for 7.1 meters and taking about 5.1 seconds.
Turn right, continue for 6.6 meters and taking about 4.7 seconds.
Turn left onto Glebeholme Boulevard on Glebeholme Boulevard, continue for 205.0 meters and taking about 147.6 seconds.
Turn right, continue for 6.2 meters and taking about 4.4 seconds.
Turn left, continue for 7.3 meters and taking about 5.2 seconds.
Turn right onto Linnsmore Crescent on Linnsmore Crescent, continue for 260.5 meters and taking about 187.6 seconds.
Turn left onto Queensdale Avenue on Queensdale Avenue, continue for 208.8 meters and taking about 150.3 seconds.
Turn right, continue for 64.4 meters and taking about 46.3 seconds.
Turn left, continue for 15.7 meters and taking about 11.3 seconds.
Turn right, continue for 6.5 meters and taking about 4.7 seconds.
Turn left onto Sammon Avenue on Sammon Avenue, continue for 74.7 meters and taking about 53.8 seconds.
Arrive at Sammon Avenue, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
