Head west, continue for 64.2 meters and taking about 46.2 seconds.
Turn right, continue for 101.8 meters and taking about 73.3 seconds.
Keep left, continue for 10.9 meters and taking about 7.9 seconds.
Turn slight left, continue for 8.3 meters and taking about 6.0 seconds.
Turn left, continue for 4.7 meters and taking about 3.4 seconds.
Turn right onto Sunnyside Avenue on Sunnyside Avenue, continue for 387.0 meters and taking about 278.6 seconds.
Turn left, continue for 4.6 meters and taking about 3.3 seconds.
Turn right, continue for 92.2 meters and taking about 66.4 seconds.
Turn left, continue for 127.2 meters and taking about 91.6 seconds.
Turn sharp right, continue for 17.0 meters and taking about 12.3 seconds.
Turn left, continue for 1.7 meters and taking about 1.2 seconds.
Turn right, continue for 102.2 meters and taking about 73.6 seconds.
Keep left, continue for 312.6 meters and taking about 225.0 seconds.
Turn slight left, continue for 111.9 meters and taking about 80.5 seconds.
Turn right, continue for 3.0 meters and taking about 2.2 seconds.
Turn left, continue for 140.2 meters and taking about 101.0 seconds.
Turn left, continue for 57.2 meters and taking about 41.2 seconds.
Keep right, continue for 7.2 meters and taking about 5.2 seconds.
Turn sharp right onto Glen Gordon Road on Glen Gordon Road, continue for 3.9 meters and taking about 2.8 seconds.
Turn left onto Indian Road Crescent on Indian Road Crescent, continue for 254.4 meters and taking about 183.2 seconds.
Turn right, continue for 4.4 meters and taking about 3.2 seconds.
Turn left, continue for 2.8 meters and taking about 2.0 seconds.
Arrive at your destination, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
