Head west, continue for 11.4 meters and taking about 8.2 seconds.
Turn right, continue for 41.7 meters and taking about 30.0 seconds.
Turn sharp right, continue for 161.3 meters and taking about 116.1 seconds.
Turn left, continue for 309.5 meters and taking about 222.8 seconds.
Turn slight right, continue for 2.0 meters and taking about 1.4 seconds.
Keep left, continue for 17.7 meters and taking about 12.8 seconds.
Turn left, continue for 1.2 meters and taking about 0.9 seconds.
Turn right, continue for 174.8 meters and taking about 125.9 seconds.
Turn slight left, continue for 98.6 meters and taking about 71.0 seconds.
Turn slight left, continue for 2.0 meters and taking about 1.4 seconds.
Turn slight right, continue for 172.0 meters and taking about 123.8 seconds.
Keep left, continue for 4.6 meters and taking about 3.3 seconds.
Turn left, continue for 33.1 meters and taking about 23.8 seconds.
Turn right, continue for 263.6 meters and taking about 189.8 seconds.
Turn right, continue for 17.4 meters and taking about 12.5 seconds.
Turn left, continue for 41.0 meters and taking about 29.5 seconds.
Turn left, continue for 3.7 meters and taking about 2.7 seconds.
Turn right onto Edwin Avenue on Edwin Avenue, continue for 10.6 meters and taking about 7.6 seconds.
Turn left, continue for 107.1 meters and taking about 77.1 seconds.
Turn right, continue for 145.9 meters and taking about 105.1 seconds.
Arrive at your destination, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
