Head south, continue for 1.4 meters and taking about 1.0 seconds.
Turn left, continue for 5.0 meters and taking about 3.6 seconds.
Turn right onto Franklin Avenue on Franklin Avenue, continue for 53.0 meters and taking about 38.1 seconds.
Turn left onto Parkman Avenue on Parkman Avenue, continue for 6.0 meters and taking about 4.3 seconds.
Turn right, continue for 5.7 meters and taking about 4.1 seconds.
Turn sharp left, continue for 45.7 meters and taking about 32.9 seconds.
Turn right, continue for 124.1 meters and taking about 89.4 seconds.
Turn right, continue for 6.3 meters and taking about 4.5 seconds.
Turn left, continue for 4.1 meters and taking about 3.0 seconds.
Turn right onto Perth Avenue on Perth Avenue, continue for 5.1 meters and taking about 3.7 seconds.
Turn left onto Antler Street on Antler Street, continue for 49.6 meters and taking about 35.7 seconds.
Turn right, continue for 4.5 meters and taking about 3.2 seconds.
Turn left, continue for 42.7 meters and taking about 30.7 seconds.
Keep left, continue for 14.5 meters and taking about 10.4 seconds.
Turn sharp right, continue for 294.0 meters and taking about 211.6 seconds.
Keep left, continue for 41.9 meters and taking about 30.1 seconds.
Turn right, continue for 4.2 meters and taking about 3.0 seconds.
Turn left onto Wallace Avenue on Wallace Avenue, continue for 355.6 meters and taking about 256.0 seconds.
Turn right, continue for 195.5 meters and taking about 140.8 seconds.
Turn sharp left, continue for 17.1 meters and taking about 12.3 seconds.
Turn right, continue for 12.1 meters and taking about 8.7 seconds.
Turn left, continue for 240.0 meters and taking about 172.8 seconds.
Turn left, continue for 4.6 meters and taking about 3.3 seconds.
Turn right onto St. Clarens Avenue on St. Clarens Avenue, continue for 97.5 meters and taking about 70.2 seconds.
Turn left, continue for 194.8 meters and taking about 140.3 seconds.
Arrive at your destination, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
