Head west, continue for 65.8 meters and taking about 47.4 seconds.
Turn right, continue for 66.2 meters and taking about 47.7 seconds.
Turn left, continue for 162.2 meters and taking about 116.8 seconds.
Turn right, continue for 5.1 meters and taking about 3.7 seconds.
Turn left onto Doncaster Avenue on Doncaster Avenue, continue for 47.7 meters and taking about 34.4 seconds.
Turn right onto Chisholm Avenue on Chisholm Avenue, continue for 7.4 meters and taking about 5.3 seconds.
Turn left, continue for 6.6 meters and taking about 4.7 seconds.
Turn sharp right, continue for 65.8 meters and taking about 47.4 seconds.
Turn left, continue for 176.5 meters and taking about 127.0 seconds.
Turn right, continue for 5.5 meters and taking about 3.9 seconds.
Turn left onto Epsom Avenue on Epsom Avenue, continue for 281.0 meters and taking about 202.3 seconds.
Turn right, continue for 3.8 meters and taking about 2.8 seconds.
Turn left, continue for 15.1 meters and taking about 10.9 seconds.
Turn slight left, continue for 92.4 meters and taking about 66.5 seconds.
Turn right, continue for 300.9 meters and taking about 216.7 seconds.
Turn left, continue for 97.2 meters and taking about 70.0 seconds.
Turn left, continue for 65.9 meters and taking about 47.5 seconds.
Turn right onto Carruthers Lane on Carruthers Lane, continue for 4.4 meters and taking about 3.2 seconds.
Turn left onto Cedarvale Avenue on Cedarvale Avenue, continue for 110.8 meters and taking about 79.7 seconds.
Turn right, continue for 81.5 meters and taking about 58.7 seconds.
Turn left, continue for 4.5 meters and taking about 3.3 seconds.
Turn right onto Sammon Avenue on Sammon Avenue, continue for 63.3 meters and taking about 45.6 seconds.
Arrive at Sammon Avenue, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
