Head east, continue for 35.6 meters and taking about 25.7 seconds.
Turn left, continue for 40.9 meters and taking about 29.4 seconds.
Turn right, continue for 168.7 meters and taking about 121.5 seconds.
Turn right, continue for 18.9 meters and taking about 13.6 seconds.
Turn left, continue for 8.3 meters and taking about 6.0 seconds.
Turn right, continue for 10.4 meters and taking about 7.5 seconds.
Turn left, continue for 591.8 meters and taking about 426.1 seconds.
Turn left onto Murray Road on Murray Road, continue for 406.8 meters and taking about 292.9 seconds.
Turn right onto Plewes Road on Plewes Road, continue for 89.3 meters and taking about 64.3 seconds.
Turn left, continue for 88.1 meters and taking about 63.4 seconds.
Arrive at your destination, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
