Head north, continue for 4.8 meters and taking about 3.5 seconds.
Turn left, continue for 92.5 meters and taking about 66.6 seconds.
Turn right, continue for 4.6 meters and taking about 3.3 seconds.
Turn left, continue for 15.6 meters and taking about 11.3 seconds.
Turn right, continue for 126.6 meters and taking about 91.1 seconds.
Keep right, continue for 32.9 meters and taking about 23.7 seconds.
Turn right, continue for 48.5 meters and taking about 34.9 seconds.
Turn sharp left, continue for 234.4 meters and taking about 168.7 seconds.
Turn right, continue for 16.6 meters and taking about 11.9 seconds.
Turn left, continue for 126.5 meters and taking about 91.1 seconds.
Turn right, continue for 6.9 meters and taking about 4.9 seconds.
Turn left onto Raglan Avenue on Raglan Avenue, continue for 39.7 meters and taking about 28.6 seconds.
Arrive at Raglan Avenue, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
