Head west, continue for 114.1 meters and taking about 82.2 seconds.
Turn left, continue for 60.3 meters and taking about 43.4 seconds.
Turn right onto Kilgour Road on Kilgour Road, continue for 80.5 meters and taking about 58.0 seconds.
Turn left, continue for 9.8 meters and taking about 7.1 seconds.
Keep right, continue for 51.7 meters and taking about 37.2 seconds.
Keep right, continue for 253.2 meters and taking about 182.3 seconds.
Turn left, continue for 87.3 meters and taking about 62.9 seconds.
Turn right, continue for 5.7 meters and taking about 4.1 seconds.
Turn left onto Broadway Avenue on Broadway Avenue, continue for 17.4 meters and taking about 12.6 seconds.
Turn right, continue for 321.5 meters and taking about 231.5 seconds.
Turn left, continue for 6.1 meters and taking about 4.4 seconds.
Keep right, continue for 141.0 meters and taking about 101.5 seconds.
Arrive at your destination, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
