Head south, continue for 7.8 meters and taking about 5.6 seconds.
Turn left, continue for 193.6 meters and taking about 139.4 seconds.
Keep left, continue for 218.2 meters and taking about 157.1 seconds.
Turn right, continue for 108.7 meters and taking about 78.3 seconds.
Turn left, continue for 18.2 meters and taking about 13.1 seconds.
Turn right, continue for 13.7 meters and taking about 9.9 seconds.
Turn left, continue for 86.9 meters and taking about 62.6 seconds.
Turn right, continue for 17.3 meters and taking about 12.4 seconds.
Turn left, continue for 16.7 meters and taking about 12.0 seconds.
Turn right, continue for 101.3 meters and taking about 72.9 seconds.
Turn left, continue for 519.2 meters and taking about 373.8 seconds.
Turn right onto Berkeley Street on Berkeley Street, continue for 25.9 meters and taking about 18.6 seconds.
Turn left, continue for 8.0 meters and taking about 5.8 seconds.
Turn right, continue for 55.8 meters and taking about 40.2 seconds.
Turn left, continue for 2.0 meters and taking about 1.4 seconds.
Turn slight left, continue for 88.4 meters and taking about 63.7 seconds.
Arrive at your destination, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
