Head west, continue for 51.4 meters and taking about 37.0 seconds.
Turn right, continue for 76.4 meters and taking about 55.0 seconds.
Turn left, continue for 20.2 meters and taking about 14.5 seconds.
Turn right, continue for 226.9 meters and taking about 163.4 seconds.
Turn left, continue for 43.1 meters and taking about 31.0 seconds.
Turn right, continue for 28.0 meters and taking about 20.1 seconds.
Turn slight left, continue for 75.3 meters and taking about 54.2 seconds.
Turn left, continue for 131.2 meters and taking about 94.4 seconds.
Turn right, continue for 4.9 meters and taking about 3.5 seconds.
Turn left onto Chatsworth Drive on Chatsworth Drive, continue for 4.8 meters and taking about 3.4 seconds.
Turn right onto Duplex Avenue on Duplex Avenue, continue for 269.9 meters and taking about 194.4 seconds.
Turn left, continue for 4.9 meters and taking about 3.5 seconds.
Arrive at your destination, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
