Head south, continue for 30.9 meters and taking about 22.3 seconds.
Turn right, continue for 72.9 meters and taking about 52.5 seconds.
Turn left, continue for 88.7 meters and taking about 63.9 seconds.
Turn right, continue for 75.3 meters and taking about 54.2 seconds.
Turn left, continue for 43.0 meters and taking about 30.9 seconds.
Keep right, continue for 85.3 meters and taking about 61.4 seconds.
Turn right, continue for 177.7 meters and taking about 127.9 seconds.
Turn left, continue for 398.5 meters and taking about 286.9 seconds.
Turn right, continue for 13.2 meters and taking about 9.5 seconds.
Turn left, continue for 365.7 meters and taking about 263.3 seconds.
Turn right, continue for 14.7 meters and taking about 10.6 seconds.
Turn left, continue for 36.1 meters and taking about 26.0 seconds.
Turn right, continue for 72.0 meters and taking about 51.9 seconds.
Turn left, continue for 103.4 meters and taking about 74.4 seconds.
Turn left, continue for 9.7 meters and taking about 7.0 seconds.
Turn right, continue for 150.4 meters and taking about 108.3 seconds.
Arrive at your destination, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
