Head east, continue for 108.8 meters and taking about 78.4 seconds.
Turn right, continue for 16.8 meters and taking about 12.1 seconds.
Turn right, continue for 372.2 meters and taking about 268.0 seconds.
Turn left, continue for 35.0 meters and taking about 25.2 seconds.
Turn right, continue for 20.0 meters and taking about 14.4 seconds.
Turn right, continue for 109.0 meters and taking about 78.5 seconds.
Keep left, continue for 139.1 meters and taking about 100.1 seconds.
Turn left, continue for 8.8 meters and taking about 6.4 seconds.
Turn right, continue for 128.0 meters and taking about 92.2 seconds.
Keep right, continue for 106.6 meters and taking about 76.8 seconds.
Turn right, continue for 208.3 meters and taking about 150.0 seconds.
Turn right, continue for 33.4 meters and taking about 24.0 seconds.
Turn left, continue for 8.9 meters and taking about 6.4 seconds.
Turn left onto Ferrand Drive on Ferrand Drive, continue for 4.2 meters and taking about 3.0 seconds.
Turn right onto Wilket Creek Road on Wilket Creek Road, continue for 131.1 meters and taking about 94.4 seconds.
Turn right, continue for 57.0 meters and taking about 41.0 seconds.
Turn left, continue for 12.6 meters and taking about 9.1 seconds.
Arrive at your destination, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
