Head north, continue for 153.9 meters and taking about 110.8 seconds.
Turn left, continue for 101.1 meters and taking about 72.8 seconds.
Turn right onto Eaton Avenue on Eaton Avenue, continue for 5.8 meters and taking about 4.2 seconds.
Turn left onto Aldwych Avenue on Aldwych Avenue, continue for 104.1 meters and taking about 75.0 seconds.
Turn right, continue for 94.7 meters and taking about 68.2 seconds.
Turn left onto Sammon Avenue on Sammon Avenue, continue for 4.0 meters and taking about 2.9 seconds.
Turn right, continue for 263.1 meters and taking about 189.4 seconds.
Turn left, continue for 33.3 meters and taking about 24.0 seconds.
Turn right, continue for 85.0 meters and taking about 61.2 seconds.
Turn slight right, continue for 3.2 meters and taking about 2.3 seconds.
Keep left, continue for 13.0 meters and taking about 9.4 seconds.
Turn slight left, continue for 2.4 meters and taking about 1.7 seconds.
Turn slight right, continue for 91.8 meters and taking about 66.1 seconds.
Keep left, continue for 111.9 meters and taking about 80.6 seconds.
Keep left, continue for 19.7 meters and taking about 14.2 seconds.
Turn left, continue for 17.5 meters and taking about 12.6 seconds.
Turn right, continue for 318.9 meters and taking about 229.6 seconds.
Turn slight right, continue for 102.9 meters and taking about 74.1 seconds.
Turn slight left, continue for 5.1 meters and taking about 3.7 seconds.
Turn right, continue for 269.9 meters and taking about 194.4 seconds.
Keep right, continue for 6.5 meters and taking about 4.7 seconds.
Turn left onto Minton Place on Minton Place, continue for 69.4 meters and taking about 49.9 seconds.
Turn right, continue for 5.4 meters and taking about 3.9 seconds.
Turn left, continue for 27.4 meters and taking about 19.8 seconds.
Turn left, continue for 10.2 meters and taking about 7.3 seconds.
Arrive at your destination, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
