Head southwest, continue for 101.8 meters and taking about 73.3 seconds.
Turn right, continue for 152.4 meters and taking about 109.7 seconds.
Turn left, continue for 72.8 meters and taking about 52.4 seconds.
Keep right, continue for 39.7 meters and taking about 28.6 seconds.
Turn left, continue for 37.2 meters and taking about 26.8 seconds.
Turn right, continue for 21.5 meters and taking about 15.5 seconds.
Turn left, continue for 4.4 meters and taking about 3.1 seconds.
Turn right onto Morse Street on Morse Street, continue for 6.1 meters and taking about 4.4 seconds.
Turn left, continue for 271.7 meters and taking about 195.6 seconds.
Turn right, continue for 41.9 meters and taking about 30.2 seconds.
Turn left, continue for 191.8 meters and taking about 138.1 seconds.
Turn right, continue for 16.8 meters and taking about 12.1 seconds.
Turn left, continue for 340.1 meters and taking about 244.9 seconds.
Turn right, continue for 43.2 meters and taking about 31.1 seconds.
Turn left, continue for 8.6 meters and taking about 6.2 seconds.
Turn right, continue for 24.3 meters and taking about 17.5 seconds.
Turn left, continue for 65.8 meters and taking about 47.4 seconds.
Turn right, continue for 4.8 meters and taking about 3.5 seconds.
Turn left onto Thompson Street on Thompson Street, continue for 31.2 meters and taking about 22.4 seconds.
Turn right, continue for 23.7 meters and taking about 17.1 seconds.
Turn slight right onto Joel Weeks Park Trail on Joel Weeks Park Trail, continue for 82.2 meters and taking about 59.2 seconds.
Keep left, continue for 20.0 meters and taking about 14.4 seconds.
Turn left, continue for 5.9 meters and taking about 4.2 seconds.
Arrive at your destination, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
