Head west, continue for 209.6 meters and taking about 150.9 seconds.
Turn right, continue for 4.6 meters and taking about 3.3 seconds.
Turn left onto Manor Road East on Manor Road East, continue for 167.9 meters and taking about 120.9 seconds.
Turn right, continue for 6.7 meters and taking about 4.8 seconds.
Turn left, continue for 312.8 meters and taking about 225.2 seconds.
Turn slight right, continue for 191.6 meters and taking about 138.0 seconds.
Turn slight right, continue for 2.6 meters and taking about 1.9 seconds.
Keep left, continue for 13.1 meters and taking about 9.4 seconds.
Turn slight left, continue for 2.3 meters and taking about 1.6 seconds.
Keep right, continue for 391.2 meters and taking about 281.7 seconds.
Turn left, continue for 17.1 meters and taking about 12.3 seconds.
Turn right, continue for 92.4 meters and taking about 66.6 seconds.
Keep right, continue for 253.4 meters and taking about 182.5 seconds.
Turn left, continue for 54.8 meters and taking about 39.5 seconds.
Turn right, continue for 4.5 meters and taking about 3.2 seconds.
Turn left onto Erskine Avenue on Erskine Avenue, continue for 4.3 meters and taking about 3.1 seconds.
Turn right, continue for 6.0 meters and taking about 4.3 seconds.
Turn left, continue for 117.9 meters and taking about 84.9 seconds.
Keep right, continue for 100.3 meters and taking about 72.2 seconds.
Turn right, continue for 16.4 meters and taking about 11.8 seconds.
Arrive at your destination, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
