Head east, continue for 20.2 meters and taking about 14.6 seconds.
Turn left, continue for 24.0 meters and taking about 17.3 seconds.
Turn right, continue for 120.1 meters and taking about 86.5 seconds.
Turn left, continue for 23.6 meters and taking about 17.0 seconds.
Turn right, continue for 235.3 meters and taking about 169.4 seconds.
Turn slight left, continue for 2.5 meters and taking about 1.8 seconds.
Turn right, continue for 34.2 meters and taking about 24.6 seconds.
Turn sharp left, continue for 193.7 meters and taking about 139.5 seconds.
Turn left, continue for 16.8 meters and taking about 12.1 seconds.
Turn right, continue for 19.9 meters and taking about 14.3 seconds.
Arrive at your destination, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
