Head west, continue for 56.0 meters and taking about 40.3 seconds.
Turn right, continue for 73.2 meters and taking about 52.7 seconds.
Turn left, continue for 18.1 meters and taking about 13.0 seconds.
Turn right, continue for 5.5 meters and taking about 4.0 seconds.
Turn left onto Castlefield Avenue on Castlefield Avenue, continue for 35.5 meters and taking about 25.6 seconds.
Turn right, continue for 6.7 meters and taking about 4.8 seconds.
Turn left, continue for 91.6 meters and taking about 66.0 seconds.
Turn right, continue for 115.3 meters and taking about 83.0 seconds.
Turn left, continue for 4.7 meters and taking about 3.4 seconds.
Turn right onto Duplex Avenue on Duplex Avenue, continue for 732.3 meters and taking about 527.2 seconds.
Turn left onto Glengrove Avenue West on Glengrove Avenue West, continue for 4.6 meters and taking about 3.3 seconds.
Turn right, continue for 7.4 meters and taking about 5.3 seconds.
Turn left, continue for 89.4 meters and taking about 64.4 seconds.
Turn right onto Ansley Street on Ansley Street, continue for 116.6 meters and taking about 83.9 seconds.
Turn left onto Glenview Avenue on Glenview Avenue, continue for 262.5 meters and taking about 189.0 seconds.
Turn right, continue for 34.9 meters and taking about 25.1 seconds.
Turn slight right, continue for 107.9 meters and taking about 77.7 seconds.
Turn left, continue for 6.9 meters and taking about 5.0 seconds.
Arrive at your destination, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
