Head east, continue for 53.9 meters and taking about 38.8 seconds.
Turn left, continue for 212.6 meters and taking about 153.1 seconds.
Turn right, continue for 2.8 meters and taking about 2.0 seconds.
Turn left, continue for 17.7 meters and taking about 12.7 seconds.
Turn right, continue for 45.8 meters and taking about 32.9 seconds.
Turn left, continue for 114.5 meters and taking about 82.5 seconds.
Turn right, continue for 18.2 meters and taking about 13.1 seconds.
Turn slight left, continue for 11.0 meters and taking about 7.9 seconds.
Turn slight right, continue for 34.3 meters and taking about 24.7 seconds.
Turn left, continue for 4.7 meters and taking about 3.4 seconds.
Turn right, continue for 8.5 meters and taking about 6.1 seconds.
Turn left onto Mutual Street on Mutual Street, continue for 209.2 meters and taking about 150.6 seconds.
Turn right, continue for 80.9 meters and taking about 58.2 seconds.
Turn left, continue for 49.5 meters and taking about 35.7 seconds.
Turn right, continue for 226.5 meters and taking about 163.1 seconds.
Keep left, continue for 306.9 meters and taking about 220.9 seconds.
Turn left, continue for 2.9 meters and taking about 2.1 seconds.
Arrive at your destination, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
