Head west, continue for 103.7 meters and taking about 74.6 seconds.
Keep left, continue for 148.5 meters and taking about 106.9 seconds.
Keep left, continue for 4.9 meters and taking about 3.6 seconds.
Turn slight right, continue for 152.7 meters and taking about 110.0 seconds.
Turn sharp right, continue for 10.8 meters and taking about 7.8 seconds.
Keep left, continue for 14.7 meters and taking about 10.6 seconds.
Keep left, continue for 258.7 meters and taking about 186.3 seconds.
Turn left, continue for 21.5 meters and taking about 15.5 seconds.
Turn right, continue for 97.3 meters and taking about 70.1 seconds.
Keep left, continue for 200.8 meters and taking about 144.6 seconds.
Turn left, continue for 76.7 meters and taking about 55.2 seconds.
Turn slight right, continue for 56.7 meters and taking about 40.8 seconds.
Turn left, continue for 124.1 meters and taking about 89.4 seconds.
Turn right, continue for 2.6 meters and taking about 1.9 seconds.
Turn slight right, continue for 75.1 meters and taking about 54.1 seconds.
Turn left, continue for 13.3 meters and taking about 9.6 seconds.
Turn left, continue for 21.1 meters and taking about 15.2 seconds.
Turn left, continue for 10.4 meters and taking about 7.5 seconds.
Turn right, continue for 59.9 meters and taking about 43.1 seconds.
Turn right, continue for 51.1 meters and taking about 36.8 seconds.
Turn right, continue for 4.7 meters and taking about 3.4 seconds.
Turn left, continue for 12.5 meters and taking about 9.0 seconds.
Turn right, continue for 16.6 meters and taking about 12.0 seconds.
Turn left, continue for 56.0 meters and taking about 40.3 seconds.
Turn right, continue for 5.0 meters and taking about 3.6 seconds.
Turn left onto Richmond Adelaide Centre Courtyard on Richmond Adelaide Centre Courtyard, continue for 19.1 meters and taking about 13.8 seconds.
Arrive at Richmond Adelaide Centre Courtyard, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
