Head east, continue for 61.4 meters and taking about 44.2 seconds.
Turn left, continue for 78.4 meters and taking about 56.5 seconds.
Turn right, continue for 36.9 meters and taking about 26.6 seconds.
Turn left, continue for 315.0 meters and taking about 226.8 seconds.
Turn left, continue for 263.3 meters and taking about 189.6 seconds.
Turn sharp right, continue for 42.0 meters and taking about 30.3 seconds.
Turn right, continue for 2.1 meters and taking about 1.5 seconds.
Turn left, continue for 321.9 meters and taking about 231.7 seconds.
Turn left, continue for 23.0 meters and taking about 16.6 seconds.
Turn right, continue for 160.2 meters and taking about 115.3 seconds.
Turn left onto Gatineau Corridor Recreation Trail on Gatineau Corridor Recreation Trail, continue for 53.9 meters and taking about 38.8 seconds.
Arrive at Gatineau Corridor Recreation Trail, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
