Head west, continue for 60.2 meters and taking about 43.3 seconds.
Turn right, continue for 37.3 meters and taking about 26.8 seconds.
Continue straight onto Old Stock Yards Road on Old Stock Yards Road, continue for 165.9 meters and taking about 119.4 seconds.
Turn left, continue for 11.0 meters and taking about 7.9 seconds.
Turn right, continue for 113.4 meters and taking about 81.6 seconds.
Turn left, continue for 565.9 meters and taking about 407.5 seconds.
Keep right, continue for 246.8 meters and taking about 177.7 seconds.
Turn right, continue for 16.7 meters and taking about 12.0 seconds.
Turn left, continue for 215.5 meters and taking about 155.2 seconds.
Turn right, continue for 46.4 meters and taking about 33.4 seconds.
Turn left, continue for 8.0 meters and taking about 5.8 seconds.
Turn right onto Runnymede Road on Runnymede Road, continue for 58.9 meters and taking about 42.4 seconds.
Turn left onto Liverpool Street on Liverpool Street, continue for 51.3 meters and taking about 36.9 seconds.
Turn right, continue for 37.4 meters and taking about 26.9 seconds.
Turn left, continue for 123.0 meters and taking about 88.6 seconds.
Turn right, continue for 38.4 meters and taking about 27.6 seconds.
Turn sharp left, continue for 13.3 meters and taking about 9.6 seconds.
Turn right, continue for 76.9 meters and taking about 55.4 seconds.
Turn left, continue for 50.3 meters and taking about 36.2 seconds.
Turn right, continue for 4.3 meters and taking about 3.1 seconds.
Turn left onto Pritchard Avenue on Pritchard Avenue, continue for 64.9 meters and taking about 46.8 seconds.
Arrive at Pritchard Avenue, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
