Head north, continue for 8.8 meters and taking about 6.3 seconds.
Turn right, continue for 393.2 meters and taking about 283.1 seconds.
Turn left, continue for 81.6 meters and taking about 58.8 seconds.
Keep right, continue for 164.2 meters and taking about 118.2 seconds.
Keep right, continue for 154.5 meters and taking about 111.2 seconds.
Turn left, continue for 1.7 meters and taking about 1.2 seconds.
Turn right, continue for 17.7 meters and taking about 12.7 seconds.
Turn left, continue for 126.9 meters and taking about 91.4 seconds.
Keep right, continue for 168.0 meters and taking about 121.0 seconds.
Turn left, continue for 1.6 meters and taking about 1.2 seconds.
Turn right, continue for 234.7 meters and taking about 169.0 seconds.
Turn right, continue for 30.3 meters and taking about 21.8 seconds.
Turn sharp left, continue for 11.6 meters and taking about 8.4 seconds.
Arrive at your destination, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
