Head south, continue for 61.5 meters and taking about 44.3 seconds.
Turn left, continue for 452.7 meters and taking about 326.0 seconds.
Turn right, continue for 17.9 meters and taking about 12.9 seconds.
Turn left, continue for 376.4 meters and taking about 271.0 seconds.
Keep right, continue for 70.9 meters and taking about 51.0 seconds.
Turn right, continue for 1.9 meters and taking about 1.4 seconds.
Keep left, continue for 19.1 meters and taking about 13.8 seconds.
Turn left, continue for 50.3 meters and taking about 36.2 seconds.
Turn right, continue for 51.3 meters and taking about 36.9 seconds.
Turn left, continue for 28.9 meters and taking about 20.8 seconds.
Turn right, continue for 145.4 meters and taking about 104.7 seconds.
Turn left, continue for 1.5 meters and taking about 1.0 seconds.
Turn sharp right, continue for 338.1 meters and taking about 243.4 seconds.
Turn left, continue for 135.9 meters and taking about 97.8 seconds.
Arrive at your destination, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
