Head west, continue for 85.0 meters and taking about 61.2 seconds.
Turn right, continue for 10.7 meters and taking about 7.7 seconds.
Turn right, continue for 92.0 meters and taking about 66.2 seconds.
Turn left, continue for 25.2 meters and taking about 18.1 seconds.
Turn left, continue for 1.9 meters and taking about 1.4 seconds.
Turn right, continue for 168.7 meters and taking about 121.4 seconds.
Turn slight right, continue for 2.4 meters and taking about 1.7 seconds.
Turn slight left, continue for 271.2 meters and taking about 195.3 seconds.
Turn right, continue for 19.1 meters and taking about 13.7 seconds.
Turn left, continue for 102.2 meters and taking about 73.6 seconds.
Turn right, continue for 6.5 meters and taking about 4.6 seconds.
Turn right, continue for 0.5 meters and taking about 0.4 seconds.
Turn left, continue for 69.8 meters and taking about 50.2 seconds.
Turn slight right, continue for 155.0 meters and taking about 111.6 seconds.
Turn right, continue for 331.3 meters and taking about 238.6 seconds.
Turn left, continue for 52.3 meters and taking about 37.7 seconds.
Turn left, continue for 53.1 meters and taking about 38.3 seconds.
Keep left, continue for 12.1 meters and taking about 8.7 seconds.
Turn slight left, continue for 246.6 meters and taking about 177.6 seconds.
Arrive at your destination, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
