Head north, continue for 702.4 meters and taking about 505.7 seconds.
Turn left, continue for 28.7 meters and taking about 20.7 seconds.
Turn left, continue for 6.5 meters and taking about 4.7 seconds.
Turn right, continue for 27.7 meters and taking about 19.9 seconds.
Turn slight right, continue for 60.1 meters and taking about 43.3 seconds.
Turn right, continue for 16.0 meters and taking about 11.5 seconds.
Turn left onto Wicksteed Avenue on Wicksteed Avenue, continue for 139.0 meters and taking about 100.1 seconds.
Turn sharp left, continue for 104.6 meters and taking about 75.3 seconds.
Turn right, continue for 15.4 meters and taking about 11.1 seconds.
Turn left, continue for 468.1 meters and taking about 337.0 seconds.
Turn slight right onto Clarke Street on Clarke Street, continue for 13.4 meters and taking about 9.6 seconds.
Turn left, continue for 181.8 meters and taking about 130.9 seconds.
Turn sharp left, continue for 16.8 meters and taking about 12.1 seconds.
Turn right, continue for 13.0 meters and taking about 9.3 seconds.
Arrive at your destination, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
