Head west, continue for 24.0 meters and taking about 17.3 seconds.
Turn left, continue for 18.6 meters and taking about 13.4 seconds.
Turn right, continue for 3.0 meters and taking about 2.1 seconds.
Turn left, continue for 18.2 meters and taking about 13.1 seconds.
Turn right, continue for 301.1 meters and taking about 216.8 seconds.
Keep right, continue for 36.5 meters and taking about 26.3 seconds.
Turn left, continue for 34.4 meters and taking about 24.8 seconds.
Turn right, continue for 6.5 meters and taking about 4.7 seconds.
Turn left, continue for 179.1 meters and taking about 128.9 seconds.
Turn right, continue for 11.4 meters and taking about 8.2 seconds.
Keep left, continue for 187.1 meters and taking about 134.7 seconds.
Turn right, continue for 69.6 meters and taking about 50.1 seconds.
Turn sharp left, continue for 457.5 meters and taking about 329.4 seconds.
Turn right, continue for 35.6 meters and taking about 25.6 seconds.
Turn left, continue for 12.6 meters and taking about 9.1 seconds.
Arrive at your destination, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
