Head north, continue for 81.6 meters and taking about 58.7 seconds.
Turn right, continue for 5.5 meters and taking about 3.9 seconds.
Turn left onto Woodfield Road on Woodfield Road, continue for 108.0 meters and taking about 77.8 seconds.
Turn right, continue for 4.6 meters and taking about 3.3 seconds.
Turn left, continue for 100.5 meters and taking about 72.4 seconds.
Turn slight left, continue for 17.3 meters and taking about 12.5 seconds.
Turn right, continue for 75.3 meters and taking about 54.2 seconds.
Turn left, continue for 405.3 meters and taking about 291.8 seconds.
Turn right, continue for 9.2 meters and taking about 6.6 seconds.
Turn left, continue for 40.0 meters and taking about 28.8 seconds.
Turn right, continue for 88.8 meters and taking about 63.9 seconds.
Turn slight left, continue for 118.6 meters and taking about 85.4 seconds.
Turn left onto Rhodes Avenue on Rhodes Avenue, continue for 48.7 meters and taking about 35.1 seconds.
Turn right, continue for 4.0 meters and taking about 2.9 seconds.
Turn left, continue for 213.9 meters and taking about 154.0 seconds.
Keep right, continue for 78.1 meters and taking about 56.2 seconds.
Turn left, continue for 15.2 meters and taking about 10.9 seconds.
Turn right, continue for 17.4 meters and taking about 12.5 seconds.
Turn slight left, continue for 7.2 meters and taking about 5.2 seconds.
Keep right, continue for 99.2 meters and taking about 71.4 seconds.
Keep left, continue for 13.0 meters and taking about 9.3 seconds.
Turn left, continue for 176.9 meters and taking about 127.4 seconds.
Turn left, continue for 100.9 meters and taking about 72.7 seconds.
Arrive at your destination, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
