Head south, continue for 15.9 meters and taking about 11.4 seconds.
Turn right, continue for 52.3 meters and taking about 37.7 seconds.
Keep right, continue for 259.2 meters and taking about 186.6 seconds.
Turn left, continue for 33.5 meters and taking about 24.1 seconds.
Turn left, continue for 44.9 meters and taking about 32.3 seconds.
Turn right, continue for 22.4 meters and taking about 16.1 seconds.
Turn left, continue for 11.2 meters and taking about 8.1 seconds.
Turn right onto Mark Street on Mark Street, continue for 5.0 meters and taking about 3.6 seconds.
Turn left onto Carfrae Lane on Carfrae Lane, continue for 4.6 meters and taking about 3.3 seconds.
Turn right, continue for 39.8 meters and taking about 28.6 seconds.
Turn left, continue for 105.8 meters and taking about 76.2 seconds.
Turn right, continue for 16.7 meters and taking about 12.0 seconds.
Turn left, continue for 3.2 meters and taking about 2.3 seconds.
Keep right, continue for 203.8 meters and taking about 146.7 seconds.
Turn left onto Sumach Street on Sumach Street, continue for 23.9 meters and taking about 17.2 seconds.
Turn right, continue for 9.3 meters and taking about 6.7 seconds.
Arrive at your destination, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
