Head south, continue for 5.0 meters and taking about 3.6 seconds.
Turn right, continue for 9.2 meters and taking about 6.6 seconds.
Turn sharp left, continue for 202.9 meters and taking about 146.1 seconds.
Turn right, continue for 17.7 meters and taking about 12.8 seconds.
Turn left, continue for 3.0 meters and taking about 2.1 seconds.
Turn right, continue for 87.3 meters and taking about 62.9 seconds.
Turn left, continue for 321.3 meters and taking about 231.3 seconds.
Turn left, continue for 15.4 meters and taking about 11.1 seconds.
Turn right, continue for 207.6 meters and taking about 149.5 seconds.
Turn left onto Gore Vale Avenue on Gore Vale Avenue, continue for 85.5 meters and taking about 61.5 seconds.
Turn right, continue for 137.2 meters and taking about 98.8 seconds.
Keep right, continue for 62.5 meters and taking about 45.0 seconds.
Turn slight left, continue for 23.3 meters and taking about 16.8 seconds.
Keep left, continue for 155.2 meters and taking about 111.7 seconds.
Turn slight left onto Trinity Circle on Trinity Circle, continue for 109.4 meters and taking about 78.8 seconds.
Turn left onto Trinity Drive on Trinity Drive, continue for 57.5 meters and taking about 41.4 seconds.
Turn right, continue for 3.5 meters and taking about 2.6 seconds.
Turn left, continue for 8.0 meters and taking about 5.8 seconds.
Turn right, continue for 5.6 meters and taking about 4.0 seconds.
Turn left, continue for 17.4 meters and taking about 12.5 seconds.
Turn right, continue for 49.8 meters and taking about 35.8 seconds.
Turn left, continue for 221.2 meters and taking about 159.3 seconds.
Arrive at your destination, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
